****************************************
** Coordinates                        **
****************************************
*******************************
** Non-Development Zones     **
*******************************
C       1, 458819.00, 304328.00
C       2, 458950.00, 304414.00
C       3, 458956.00, 304161.00
C       4, 459048.00, 304324.00
C       5, 458876.00, 304544.00
C       6, 458701.00, 304449.00
C       7, 459199.00, 304422.00
C       8, 459023.00, 304735.00
C       9, 459101.00, 304136.00
C      10, 458627.00, 304184.00
C      11, 458734.00, 304082.00
C      12, 458541.00, 304339.00
C      13, 459098.00, 303936.00
C      14, 459194.00, 304094.00
C      15, 459042.00, 303862.00
C      16, 458868.00, 304717.00
C      17, 458499.00, 304661.00
C      18, 458740.00, 304744.00
C      19, 458697.00, 303900.00
C      20, 459259.00, 304600.00
C      21, 459301.00, 304178.00
C      22, 458492.00, 304491.00
C      23, 458543.00, 304077.00
C      24, 458849.00, 303897.00
C      25, 459257.00, 304854.00
C      26, 459292.00, 303946.00
C      27, 459398.00, 304158.00
C      28, 458344.00, 304446.00
C      29, 458404.00, 304565.00
C      30, 459018.00, 305033.00
C      31, 458298.00, 304144.00
C      32, 458288.00, 304367.00
C      33, 458861.00, 304990.00
C      34, 458495.00, 303790.00
C      35, 458575.00, 304874.00
C      36, 458987.00, 303642.00
C      37, 459490.00, 304019.00
C      38, 458612.00, 303564.00
C      39, 458120.00, 304553.00
C      40, 459547.00, 303928.00
C      41, 458348.00, 304886.00
C      42, 458897.00, 305109.00
C      43, 458411.00, 305033.00
C      44, 458565.00, 305138.00
C      45, 458837.00, 305232.00
C      46, 457604.00, 304664.00
C      47, 458034.00, 303913.00
C      48, 458209.00, 303656.00
C      49, 458358.00, 303471.00
C      50, 459041.00, 305531.00
C      51, 457827.00, 303922.00
C      52, 458399.00, 305455.00
C      53, 457891.00, 304153.00
C      54, 458495.00, 303219.00
C      55, 457991.00, 303581.00
C      56, 458006.00, 305014.00
C      57, 457735.00, 303620.00
C      58, 457832.00, 303164.00
C      59, 457712.00, 305128.00
C      60, 457681.00, 303309.00
C      61, 457879.00, 305575.00
C      62, 459330.00, 306184.00
C      63, 458369.00, 302799.00
C      64, 459106.00, 306273.00
C      65, 458511.00, 306228.00
C      66, 458844.00, 306330.00
C      67, 458068.00, 302207.00
C      68, 458648.00, 306385.00
C      69, 458842.00, 306672.00
C      70, 458827.00, 307154.00
C     101, 459573.00, 304356.00
C     102, 459605.00, 304627.00
C     103, 459419.00, 305118.00
C     104, 459129.00, 305346.00
C     105, 459699.00, 304902.00
C     106, 460016.00, 305514.00
C     107, 459878.00, 305034.00
C     108, 459572.00, 305582.00
C     109, 459471.00, 306011.00
C     110, 460444.00, 304933.00
C     111, 459798.00, 305949.00
C     112, 460303.00, 305399.00
C     113, 460253.00, 305987.00
C     114, 460553.00, 305194.00
C     115, 459785.00, 306313.00
C     116, 460685.00, 305502.00
C     117, 460941.00, 305034.00
C     118, 459648.00, 306867.00
C     119, 461073.00, 306182.00
C     120, 461370.00, 305432.00
C     121, 460906.00, 305814.00
C     122, 459900.00, 306690.00
C     123, 460325.00, 306546.00
C     124, 459422.00, 306957.00
C     125, 460576.00, 306378.00
C     126, 461678.00, 305224.00
C     127, 459241.00, 307378.00
C     128, 460013.00, 307049.00
C     129, 461794.00, 305868.00
C     130, 459497.00, 307266.00
C     131, 460755.00, 306746.00
C     132, 459636.00, 307410.00
C     133, 460860.00, 307299.00
C     134, 461252.00, 306643.00
C     135, 459295.00, 307514.00
C     136, 459496.00, 307588.00
C     137, 462386.00, 305694.00
C     138, 459965.00, 307737.00
C     139, 459489.00, 307742.00
C     140, 462061.00, 306239.00
C     141, 462643.00, 305210.00
C     142, 463039.00, 304498.00
C     143, 460478.00, 307704.00
C     144, 462843.00, 304022.00
C     145, 461535.00, 306934.00
C     146, 459545.00, 308395.00
C     147, 460102.00, 307990.00
C     148, 460578.00, 307950.00
C     149, 460402.00, 308347.00
C     150, 463443.00, 304900.00
C     151, 463678.00, 303675.00
C     152, 461117.00, 308165.00
C     153, 463420.00, 305765.00
C     154, 461666.00, 308043.00
C     155, 463187.00, 306832.00
C     156, 462032.00, 308101.00
C     157, 462369.00, 307663.00
C     158, 463863.00, 305208.00
C     159, 463031.00, 306486.00
C     160, 464107.00, 306182.00
C     161, 463110.00, 307456.00
C     162, 464421.00, 305041.00
C     201, 459463.00, 303661.00
C     202, 459230.00, 303484.00
C     203, 458839.00, 303186.00
C     204, 459789.00, 304127.00
C     205, 459830.00, 304253.00
C     206, 459868.00, 304388.00
C     207, 459725.00, 303838.00
C     208, 459114.00, 303320.00
C     209, 459940.00, 304455.00
C     210, 459871.00, 304817.00
C     211, 460093.00, 304567.00
C     212, 460010.00, 304006.00
C     213, 459594.00, 303330.00
C     214, 459837.00, 303706.00
